plant_ID,material,stock,safetyStock
P001,SEAL-75MM-PUMP,4,2
P001,VALVE-GATE-4IN,0,1
P001,BEARING-6205ZZ,12,4
P001,GASKET-SPIRAL-8IN,3,1
P001,FILTER-HYDRAULIC-10M,6,2
P002,SEAL-75MM-PUMP,0,2
P002,VALVE-GATE-4IN,5,2
P002,BEARING-6205ZZ,3,1
P002,GASKET-SPIRAL-8IN,0,1
P002,FILTER-HYDRAULIC-10M,2,1
P003,SEAL-75MM-PUMP,2,1
P003,VALVE-GATE-4IN,1,1
P003,BEARING-6205ZZ,0,2
P003,GASKET-SPIRAL-8IN,4,2
P003,FILTER-HYDRAULIC-10M,0,1
P004,SEAL-75MM-PUMP,6,2
P004,VALVE-GATE-4IN,3,1
P004,BEARING-6205ZZ,8,3
P004,GASKET-SPIRAL-8IN,1,1
P004,FILTER-HYDRAULIC-10M,5,2
P005,SEAL-75MM-PUMP,1,1
P005,VALVE-GATE-4IN,4,2
P005,BEARING-6205ZZ,2,1
P005,GASKET-SPIRAL-8IN,6,2
P005,FILTER-HYDRAULIC-10M,3,1
